Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,Overall Rating_home,Attack_home,Midfield_home,Defence_home,Num of Players_home,Build-up Style_home,Overall Rating_away,Attack_away,Midfield_away,Defence_away,Num of Players_away,Build-up Style_away
B1,2019-10-06,13:30,Club Brugge,Gent,4,0,H,2.0,0.0,H,11.0,15.0,7.0,8.0,16.0,9.0,5.0,5.0,4.0,3.0,0.0,0.0,1.6,4.0,5.25,2019-2020,75.0,74.0,76.0,72.0,28.0,Balanced,74.0,75.0,74.0,71.0,27.0,Balanced
B1,2019-10-06,17:00,Antwerp,Standard,2,2,D,1.0,0.0,H,14.0,9.0,5.0,3.0,15.0,19.0,5.0,4.0,3.0,2.0,0.0,0.0,2.15,3.4,3.25,2019-2020,71.0,72.0,71.0,70.0,28.0,Long Ball,,,,,,
B1,2019-10-06,19:00,Genk,Mouscron,2,1,H,0.0,0.0,D,12.0,7.0,6.0,3.0,12.0,12.0,1.0,4.0,1.0,2.0,0.0,0.0,1.45,4.33,6.0,2019-2020,72.0,72.0,72.0,70.0,25.0,Balanced,64.0,65.0,64.0,63.0,25.0,Long Ball
B1,2019-10-18,19:30,Mouscron,Club Brugge,0,1,A,0.0,1.0,A,5.0,11.0,1.0,6.0,13.0,15.0,4.0,5.0,0.0,1.0,0.0,0.0,7.0,4.75,1.4,2019-2020,64.0,65.0,64.0,63.0,25.0,Long Ball,75.0,74.0,76.0,72.0,28.0,Balanced
B1,2019-10-19,17:00,Standard,Genk,1,0,H,0.0,0.0,D,10.0,7.0,4.0,2.0,11.0,10.0,4.0,6.0,2.0,1.0,0.0,0.0,2.1,3.75,3.1,2019-2020,,,,,,,72.0,72.0,72.0,70.0,25.0,Balanced
B1,2019-10-19,19:00,Kortrijk,Waregem,2,0,H,1.0,0.0,H,9.0,7.0,7.0,3.0,10.0,8.0,11.0,5.0,1.0,4.0,0.0,1.0,2.1,3.8,3.1,2019-2020,,,,,,,68.0,69.0,68.0,67.0,28.0,Balanced
B1,2019-10-19,19:00,Oostende,Eupen,2,3,A,2.0,1.0,H,10.0,10.0,5.0,5.0,8.0,19.0,11.0,5.0,1.0,3.0,0.0,1.0,2.0,3.6,3.4,2019-2020,67.0,68.0,67.0,66.0,27.0,Long Ball,65.0,65.0,65.0,64.0,26.0,Balanced
B1,2019-10-19,19:30,Gent,Waasland-Beveren,2,0,H,1.0,0.0,H,11.0,9.0,9.0,2.0,14.0,8.0,8.0,1.0,1.0,2.0,0.0,0.0,1.18,8.0,11.0,2019-2020,74.0,75.0,74.0,71.0,27.0,Balanced,65.0,66.0,65.0,64.0,24.0,Long Ball
B1,2019-10-20,13:30,Mechelen,Antwerp,3,1,H,2.0,1.0,H,9.0,8.0,7.0,3.0,12.0,14.0,6.0,1.0,3.0,3.0,0.0,0.0,3.6,3.6,1.95,2019-2020,69.0,70.0,69.0,68.0,26.0,Balanced,71.0,72.0,71.0,70.0,28.0,Long Ball
B1,2019-10-20,17:00,Anderlecht,St Truiden,4,1,H,2.0,0.0,H,11.0,8.0,8.0,3.0,10.0,14.0,3.0,3.0,1.0,2.0,0.0,0.0,1.4,4.75,7.0,2019-2020,72.0,72.0,72.0,71.0,29.0,Balanced,67.0,67.0,67.0,66.0,26.0,Fast Build-Up
