Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,matchday,Home_pre_po,Away_pre_po,home_Public_per,draw_public_per,away_public_per,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
B1,14/09/2019,19:00,Eupen,Waregem,1,1,7,15,9,11.1,11.1,77.8,D,0,1,A,9,4,2,2,18,20,5,2,3,2,0,1,2.75,3.75,2.3,2.8,3.7,2.35,2.7,3.6,2.3,2.71,3.83,2.47,2.75,3.7,2.3,2.8,3.75,2.3,3,3.9,2.47,2.75,3.66,2.33
B1,14/09/2019,19:00,St Truiden,Waasland-Beveren,1,1,7,12,16,85.2,11.1,3.7,D,0,0,D,4,12,2,4,12,11,6,9,2,1,0,0,1.6,4.2,5,1.65,4.33,4.75,1.63,4.15,4.5,1.65,4.33,4.99,1.63,4.2,4.5,1.65,4.2,4.6,1.7,4.33,5,1.64,4.18,4.64
B1,14/09/2019,19:30,Cercle Brugge,Club Brugge,0,2,7,14,3,0,3.7,96.3,A,0,1,A,11,8,4,4,13,6,3,9,1,2,0,0,8.5,6,1.28,9,6,1.3,8.6,5.7,1.27,9.03,6.23,1.3,10,5.8,1.25,10.5,6,1.25,10.5,6.23,1.31,8.96,5.85,1.28
B1,15/09/2019,13:30,Anderlecht,Antwerp,1,2,7,13,2,63,14.8,22.2,A,0,0,D,10,13,2,8,13,13,11,4,4,4,1,0,2,3.6,3.5,2,3.7,3.6,1.97,3.5,3.5,2.03,3.8,3.6,1.95,3.7,3.5,2,3.6,3.6,2.11,3.8,3.6,2,3.6,3.47
B1,15/09/2019,17:00,Gent,Mechelen,3,0,7,6,4,70.4,11.1,18.5,H,3,0,H,13,4,9,0,10,9,7,4,1,3,0,0,1.5,4.33,6,1.5,4.6,6,1.5,4.35,5.4,1.51,4.72,6.09,1.47,4.5,6,1.5,4.5,5.75,1.54,4.72,6.09,1.5,4.47,5.72
B1,15/09/2019,19:30,Mouscron,Kortrijk,2,0,7,5,11,85.2,7.4,7.4,H,1,0,H,8,7,4,2,14,16,6,5,3,3,0,1,2.1,3.5,3.3,2.15,3.5,3.3,2.1,3.4,3.25,2.21,3.59,3.3,2.15,3.4,3.2,2.1,3.5,3.3,2.22,3.6,3.4,2.13,3.45,3.25
B1,20/09/2019,19:30,Kortrijk,Mechelen,2,3,8,11,7,19.2,30.8,50,A,1,0,H,11,9,7,6,19,18,6,2,0,3,0,0,2.4,3.3,2.87,2.3,3.5,3,2.3,3.35,2.85,2.33,3.72,2.97,2.3,3.5,2.88,2.3,3.5,2.9,2.4,3.72,3.05,2.31,3.49,2.92
B1,21/09/2019,17:00,Charleroi,St Truiden,0,3,8,6,12,96.2,0,3.8,A,0,1,A,12,5,2,5,13,13,12,2,2,3,0,0,1.57,4,5.75,1.62,4,5.5,1.6,4,4.75,1.65,4.18,5.16,1.6,4,5.25,1.62,4.1,5,1.65,4.28,5.75,1.62,4.02,5.03
B1,21/09/2019,19:00,Antwerp,Cercle Brugge,3,1,8,2,14,92.6,7.4,0,H,1,1,D,13,5,8,1,14,13,5,2,1,2,0,0,1.36,4.75,8,1.4,5.1,7,1.37,4.8,6.9,1.42,5.18,6.98,1.38,4.75,7.5,1.36,4.8,8,1.44,5.18,8.35,1.38,4.9,7.2
B1,21/09/2019,19:00,Waasland-Beveren,Mouscron,1,1,8,16,4,11.1,0,88.9,D,0,1,A,7,6,2,4,11,11,2,4,1,2,0,0,3.4,3.5,2.05,3.5,3.5,2.1,3.3,3.6,2,3.46,3.66,2.11,3.3,3.6,2.05,3.4,3.6,2.05,3.5,3.7,2.16,3.36,3.56,2.06
