Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,FTR_category,Result,Season,Team_Home,Overall Rating_Home,Attack_Home,Midfield_Home,Defence_Home,Num of Players_Home,Build-up Style_Home,Team_Away,Overall Rating_Away,Attack_Away,Midfield_Away,Defence_Away,Num of Players_Away,Build-up Style_Away,HomeTeam_Advantage,HomeTeam_Form,AwayTeam_Form
B1,2019-08-31,Kortrijk,Oostende,2,2,D,6.0,12.0,3.0,3.0,16.0,15.0,7.0,1.0,1.0,1.0,0.0,0.0,2.05,3.6,3.4,19,0,2019,8,31,9,12,7,Draw,Draw,2019-2020,,69.65567176186646,70.34285714285714,69.84285714285714,68.46746031746032,26.95,Balanced,Oostende,67.0,68.0,67.0,66.0,27.0,Long Ball,66.66666666666666,46.666666666666664,60.0
B1,2019-08-31,Waasland-Beveren,Charleroi,0,4,A,5.0,7.0,1.0,6.0,18.0,11.0,7.0,4.0,1.0,0.0,0.0,0.0,4.0,3.75,1.83,19,2,2019,8,31,19,4,7,Away Win,Away Win,2019-2020,Waasland-Beveren,65.0,66.0,65.0,64.0,24.0,Long Ball,Charleroi,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,0.0,6.666666666666667,41.66666666666667
B1,2019-09-01,Club Brugge,Genk,1,1,D,10.0,13.0,5.0,3.0,16.0,13.0,6.0,5.0,2.0,4.0,0.0,0.0,1.75,3.75,4.33,13,0,2019,9,1,5,7,1,Draw,Draw,2019-2020,Club Brugge,75.0,74.0,76.0,72.0,28.0,Balanced,Genk,72.0,72.0,72.0,70.0,25.0,Balanced,66.66666666666666,83.33333333333334,60.0
B1,2019-09-01,Anderlecht,Standard,1,0,H,10.0,11.0,4.0,5.0,15.0,12.0,1.0,3.0,2.0,2.0,0.0,0.0,2.05,3.6,3.4,17,1,2019,9,1,0,18,1,Home Win,Home Win,2019-2020,Anderlecht,72.0,72.0,72.0,71.0,29.0,Balanced,,69.64389067524115,70.3330689928628,69.83108643933386,68.45757335448057,26.94528152260111,Balanced,16.666666666666664,13.333333333333334,80.0
B1,2019-09-01,Gent,Cercle Brugge,3,2,H,17.0,7.0,8.0,3.0,12.0,16.0,4.0,2.0,1.0,4.0,0.0,0.0,1.28,6.0,8.5,19,1,2019,9,1,8,3,1,Home Win,Home Win,2019-2020,Gent,74.0,75.0,74.0,71.0,27.0,Balanced,Cercle Brugge,66.0,67.0,66.0,65.0,25.0,Balanced,100.0,58.333333333333336,20.0
B1,2019-09-01,Waregem,Antwerp,2,0,H,10.0,3.0,4.0,2.0,7.0,16.0,5.0,6.0,0.0,2.0,0.0,0.0,2.7,3.8,2.3,19,1,2019,9,1,20,1,1,Home Win,Home Win,2019-2020,Waregem,68.0,69.0,68.0,67.0,28.0,Balanced,Antwerp,71.0,72.0,71.0,70.0,28.0,Long Ball,50.0,46.666666666666664,75.0
B1,2019-09-13,Charleroi,Genk,2,1,H,3.0,11.0,3.0,4.0,14.0,8.0,1.0,3.0,6.0,1.0,0.0,0.0,2.7,3.6,2.37,19,1,2019,9,13,4,7,6,Home Win,Home Win,2019-2020,Charleroi,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,Genk,72.0,72.0,72.0,70.0,25.0,Balanced,66.66666666666666,53.333333333333336,46.666666666666664
B1,2019-09-14,Oostende,Standard,1,4,A,4.0,10.0,3.0,8.0,11.0,10.0,2.0,9.0,0.0,2.0,0.0,0.0,4.33,4.2,1.66,17,2,2019,9,14,12,18,7,Away Win,Away Win,2019-2020,Oostende,67.0,68.0,67.0,66.0,27.0,Long Ball,,69.64389067524115,70.3330689928628,69.83108643933386,68.45757335448057,26.94528152260111,Balanced,66.66666666666666,46.666666666666664,60.0
B1,2019-09-14,Eupen,Waregem,1,1,D,9.0,4.0,2.0,2.0,18.0,20.0,5.0,2.0,3.0,2.0,0.0,1.0,2.75,3.75,2.3,19,0,2019,9,14,6,20,7,Draw,Draw,2019-2020,Eupen,65.0,65.0,65.0,64.0,26.0,Balanced,Waregem,68.0,69.0,68.0,67.0,28.0,Balanced,11.11111111111111,13.333333333333334,66.66666666666666
B1,2019-09-14,St Truiden,Waasland-Beveren,1,1,D,4.0,12.0,2.0,4.0,12.0,11.0,6.0,9.0,2.0,1.0,0.0,0.0,1.6,4.2,5.0,19,0,2019,9,14,16,19,7,Draw,Draw,2019-2020,St Truiden,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,Waasland-Beveren,65.0,66.0,65.0,64.0,24.0,Long Ball,44.44444444444444,46.666666666666664,6.666666666666667
B1,2019-09-14,Cercle Brugge,Club Brugge,0,2,A,11.0,8.0,4.0,4.0,13.0,6.0,3.0,9.0,1.0,2.0,0.0,0.0,8.5,6.0,1.28,19,2,2019,9,14,3,5,7,Away Win,Away Win,2019-2020,Cercle Brugge,66.0,67.0,66.0,65.0,25.0,Balanced,Club Brugge,75.0,74.0,76.0,72.0,28.0,Balanced,33.33333333333333,20.0,73.33333333333333
B1,2019-09-15,Anderlecht,Antwerp,1,2,A,10.0,13.0,2.0,8.0,13.0,13.0,11.0,4.0,4.0,4.0,1.0,0.0,2.0,3.6,3.5,13,2,2019,9,15,0,1,1,Away Win,Away Win,2019-2020,Anderlecht,72.0,72.0,72.0,71.0,29.0,Balanced,Antwerp,71.0,72.0,71.0,70.0,28.0,Long Ball,44.44444444444444,33.33333333333333,60.0
B1,2019-09-15,Gent,Mechelen,3,0,H,13.0,4.0,9.0,0.0,10.0,9.0,7.0,4.0,1.0,3.0,0.0,0.0,1.5,4.33,6.0,17,1,2019,9,15,8,10,1,Home Win,Home Win,2019-2020,Gent,74.0,75.0,74.0,71.0,27.0,Balanced,Mechelen,69.0,70.0,69.0,68.0,26.0,Balanced,100.0,66.66666666666666,53.333333333333336
