Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,Result,Season
B1,2019-09-15,Gent,Mechelen,3,0,H,13.0,4.0,9.0,0.0,10.0,9.0,7.0,4.0,1.0,3.0,0.0,0.0,1.5,4.33,6.0,1.5,4.6,6.0,1.5,4.35,5.4,1.51,4.72,6.09,1.47,4.5,6.0,1.5,4.5,5.75,1.54,4.72,6.09,1.5,4.47,5.72,17,1,2019,9,15,8,10,1,Home Win,2019-2020
B1,2019-09-15,Mouscron,Kortrijk,2,0,H,8.0,7.0,4.0,2.0,14.0,16.0,6.0,5.0,3.0,3.0,0.0,1.0,2.1,3.5,3.3,2.15,3.5,3.3,2.1,3.4,3.25,2.21,3.59,3.3,2.15,3.4,3.2,2.1,3.5,3.3,2.22,3.6,3.4,2.13,3.45,3.25,19,1,2019,9,15,11,9,1,Home Win,2019-2020
B1,2019-09-20,Kortrijk,Mechelen,2,3,A,11.0,9.0,7.0,6.0,19.0,18.0,6.0,2.0,0.0,3.0,0.0,0.0,2.4,3.3,2.87,2.3,3.5,3.0,2.3,3.35,2.85,2.33,3.72,2.97,2.3,3.5,2.88,2.3,3.5,2.9,2.4,3.72,3.05,2.31,3.49,2.92,19,2,2019,9,20,9,10,6,Away Win,2019-2020
B1,2019-09-21,Charleroi,St Truiden,0,3,A,12.0,5.0,2.0,5.0,13.0,13.0,12.0,2.0,2.0,3.0,0.0,0.0,1.57,4.0,5.75,1.62,4.0,5.5,1.6,4.0,4.75,1.65,4.18,5.16,1.6,4.0,5.25,1.62,4.1,5.0,1.65,4.28,5.75,1.62,4.02,5.03,17,2,2019,9,21,4,16,7,Away Win,2019-2020
B1,2019-09-21,Antwerp,Cercle Brugge,3,1,H,13.0,5.0,8.0,1.0,14.0,13.0,5.0,2.0,1.0,2.0,0.0,0.0,1.36,4.75,8.0,1.4,5.1,7.0,1.37,4.8,6.9,1.42,5.18,6.98,1.38,4.75,7.5,1.36,4.8,8.0,1.44,5.18,8.35,1.38,4.9,7.2,19,1,2019,9,21,1,3,7,Home Win,2019-2020
B1,2019-09-21,Waasland-Beveren,Mouscron,1,1,D,7.0,6.0,2.0,4.0,11.0,11.0,2.0,4.0,1.0,2.0,0.0,0.0,3.4,3.5,2.05,3.5,3.5,2.1,3.3,3.6,2.0,3.46,3.66,2.11,3.3,3.6,2.05,3.4,3.6,2.05,3.5,3.7,2.16,3.36,3.56,2.06,19,0,2019,9,21,19,11,7,Draw,2019-2020
B1,2019-09-21,Genk,Oostende,3,1,H,14.0,14.0,3.0,5.0,11.0,11.0,8.0,4.0,2.0,2.0,0.0,0.0,1.33,4.75,10.0,1.35,5.25,8.25,1.35,5.1,7.2,1.33,5.53,9.12,1.32,5.25,8.5,1.33,5.25,8.5,1.38,5.53,10.0,1.34,5.17,8.02,19,1,2019,9,21,7,12,7,Home Win,2019-2020
B1,2019-09-22,Standard,Eupen,3,0,H,15.0,4.0,8.0,1.0,9.0,14.0,6.0,3.0,0.0,2.0,0.0,1.0,1.28,5.75,9.0,1.26,6.25,10.5,1.3,5.3,8.6,1.27,5.84,11.94,1.25,5.5,11.0,1.29,5.75,10.0,1.31,6.25,12.0,1.27,5.6,9.98,13,1,2019,9,22,18,6,1,Home Win,2019-2020
B1,2019-09-22,Club Brugge,Anderlecht,2,1,H,17.0,5.0,8.0,4.0,11.0,14.0,8.0,3.0,1.0,2.0,0.0,0.0,1.5,4.33,6.0,1.55,4.4,5.5,1.53,4.35,5.2,1.54,4.69,5.7,1.5,4.5,5.5,1.5,4.5,5.75,1.57,4.75,6.0,1.52,4.46,5.44,17,1,2019,9,22,5,0,1,Home Win,2019-2020
B1,2019-09-22,Waregem,Gent,2,2,D,6.0,13.0,2.0,5.0,11.0,17.0,3.0,2.0,1.0,1.0,0.0,1.0,3.4,3.75,2.0,3.5,3.9,1.95,3.2,3.8,1.97,3.38,4.15,2.01,3.25,4.0,1.95,3.3,3.9,2.0,3.5,4.15,2.08,3.28,3.85,2.0,19,0,2019,9,22,20,8,1,Draw,2019-2020
B1,2019-09-28,Mechelen,Club Brugge,0,5,A,2.0,22.0,0.0,12.0,6.0,19.0,1.0,12.0,2.0,1.0,1.0,0.0,6.0,4.33,1.5,6.0,4.2,1.55,5.8,4.4,1.47,5.9,4.9,1.5,4.8,4.0,1.6,6.25,4.5,1.5,6.3,4.9,1.55,5.88,4.53,1.48,17,2,2019,9,28,10,5,7,Away Win,2019-2020
B1,2019-09-28,Cercle Brugge,Eupen,1,2,A,7.0,7.0,3.0,4.0,22.0,19.0,1.0,2.0,4.0,4.0,1.0,0.0,2.0,3.6,3.25,2.1,3.7,3.3,2.05,3.5,3.25,2.14,3.66,3.39,2.1,3.5,3.1,2.1,3.6,3.3,2.25,3.7,3.39,2.1,3.54,3.25,19,2,2019,9,28,3,6,7,Away Win,2019-2020
