Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
B1,19/10/2019,19:30,Gent,Waasland-Beveren,2,0,1,1.0,0.0,H,11.0,9.0,9.0,2.0,14.0,8.0,8.0,1.0,1.0,2.0,0.0,0.0,1.18,8.0,11.0
B1,20/10/2019,13:30,Mechelen,Antwerp,3,1,1,2.0,1.0,H,9.0,8.0,7.0,3.0,12.0,14.0,6.0,1.0,3.0,3.0,0.0,0.0,3.6,3.6,1.95
B1,20/10/2019,17:00,Anderlecht,St Truiden,4,1,1,2.0,0.0,H,11.0,8.0,8.0,3.0,10.0,14.0,3.0,3.0,1.0,2.0,0.0,0.0,1.4,4.75,7.0
B1,20/10/2019,19:00,Cercle Brugge,Charleroi,0,3,0,0.0,3.0,A,10.0,9.0,4.0,7.0,13.0,12.0,10.0,2.0,2.0,2.0,0.0,0.0,3.5,3.8,1.95
B1,25/10/2019,19:30,Eupen,Anderlecht,0,0,2,0.0,0.0,D,10.0,8.0,7.0,2.0,15.0,12.0,3.0,4.0,4.0,0.0,0.0,0.0,4.2,3.3,1.9
B1,26/10/2019,17:00,Charleroi,Mouscron,1,0,1,0.0,0.0,D,9.0,9.0,5.0,3.0,11.0,16.0,1.0,10.0,2.0,2.0,0.0,0.0,1.9,3.4,4.0
B1,26/10/2019,19:00,Antwerp,Kortrijk,3,1,1,1.0,0.0,H,14.0,7.0,7.0,3.0,8.0,12.0,6.0,4.0,1.0,1.0,0.0,0.0,1.4,4.5,7.5
B1,26/10/2019,19:00,Waregem,Oostende,2,0,1,0.0,0.0,D,7.0,5.0,2.0,4.0,12.0,18.0,4.0,2.0,0.0,1.0,0.0,0.0,1.75,4.0,4.0
B1,26/10/2019,19:30,Genk,Cercle Brugge,1,0,1,1.0,0.0,H,13.0,11.0,6.0,4.0,7.0,16.0,8.0,4.0,0.0,2.0,0.0,0.0,1.16,7.0,15.0
B1,27/10/2019,13:30,Club Brugge,Standard,1,1,2,0.0,1.0,A,9.0,6.0,3.0,2.0,8.0,12.0,5.0,5.0,1.0,2.0,0.0,0.0,1.45,4.2,6.5
B1,27/10/2019,17:00,St Truiden,Gent,0,0,2,0.0,0.0,D,8.0,19.0,3.0,6.0,10.0,14.0,4.0,11.0,0.0,1.0,0.0,0.0,6.0,4.0,1.55
B1,27/10/2019,19:00,Waasland-Beveren,Mechelen,1,3,0,0.0,1.0,A,8.0,7.0,5.0,2.0,15.0,20.0,10.0,4.0,2.0,1.0,0.0,0.0,3.4,3.5,2.05
B1,29/10/2019,19:30,Cercle Brugge,Mouscron,2,2,2,1.0,1.0,D,10.0,4.0,7.0,3.0,19.0,19.0,4.0,5.0,2.0,4.0,0.0,0.0,2.8,3.6,2.3
B1,29/10/2019,19:30,Kortrijk,Eupen,1,2,0,0.0,2.0,A,7.0,7.0,2.0,5.0,16.0,16.0,6.0,2.0,1.0,4.0,0.0,0.0,1.85,4.0,3.6
B1,29/10/2019,19:30,Oostende,Charleroi,0,1,0,0.0,0.0,D,8.0,7.0,5.0,3.0,15.0,13.0,6.0,5.0,2.0,1.0,0.0,1.0,3.25,3.4,2.2
B1,30/10/2019,19:30,Genk,Antwerp,2,2,2,0.0,1.0,A,11.0,13.0,7.0,6.0,13.0,21.0,7.0,5.0,0.0,4.0,0.0,1.0,1.95,3.6,3.6
B1,30/10/2019,19:30,Mechelen,St Truiden,1,2,0,1.0,0.0,H,15.0,10.0,5.0,4.0,15.0,14.0,3.0,7.0,1.0,3.0,0.0,0.0,1.75,4.0,4.2
B1,30/10/2019,19:30,Standard,Waasland-Beveren,2,0,1,1.0,0.0,H,15.0,3.0,8.0,2.0,8.0,17.0,11.0,1.0,1.0,2.0,0.0,0.0,1.2,6.5,11.0
B1,30/10/2019,19:30,Waregem,Club Brugge,0,2,0,0.0,1.0,A,5.0,13.0,2.0,5.0,10.0,13.0,6.0,8.0,1.0,2.0,0.0,0.0,5.75,4.5,1.45
B1,31/10/2019,19:30,Anderlecht,Gent,3,3,2,1.0,1.0,D,10.0,13.0,8.0,7.0,18.0,19.0,4.0,5.0,1.0,2.0,0.0,0.0,2.75,3.6,2.37
